year,level_1,value
1996,Total Age Specific Death Rate,4.7
1997,Male Age Specific Death Rate,4.9
1997,Female Age Specific Death Rate,4.1
1997,Total Age Specific Death Rate,4.5
1998,Male Age Specific Death Rate,5
1998,Female Age Specific Death Rate,4.1
1998,Total Age Specific Death Rate,4.6
1999,Male Age Specific Death Rate,4.9
1999,Female Age Specific Death Rate,4.1
1999,Total Age Specific Death Rate,4.5
2000,Male Age Specific Death Rate,4.9
2000,Female Age Specific Death Rate,4.1
2000,Total Age Specific Death Rate,4.5
2001,Male Age Specific Death Rate,4.8
2001,Female Age Specific Death Rate,3.9
2001,Total Age Specific Death Rate,4.3
2002,Male Age Specific Death Rate,4.8
2002,Female Age Specific Death Rate,4
2002,Total Age Specific Death Rate,4.4
2003,Male Age Specific Death Rate,5
2003,Female Age Specific Death Rate,4
2003,Total Age Specific Death Rate,4.5
2004,Male Age Specific Death Rate,4.9
2004,Female Age Specific Death Rate,3.9
2004,Total Age Specific Death Rate,4.4
2005,Male Age Specific Death Rate,4.9
2005,Female Age Specific Death Rate,4
2005,Total Age Specific Death Rate,4.4
2006,Male Age Specific Death Rate,4.8
2006,Female Age Specific Death Rate,4
2006,Total Age Specific Death Rate,4.4
2007,Male Age Specific Death Rate,5
2007,Female Age Specific Death Rate,4
2007,Total Age Specific Death Rate,4.5
2008,Male Age Specific Death Rate,4.9
2008,Female Age Specific Death Rate,4
2008,Total Age Specific Death Rate,4.4
2009,Male Age Specific Death Rate,4.7
2009,Female Age Specific Death Rate,3.8
2009,Total Age Specific Death Rate,4.3
2010,Male Age Specific Death Rate,4.8
2010,Female Age Specific Death Rate,3.9
2010,Total Age Specific Death Rate,4.4
2011,Male Age Specific Death Rate,4.9
2011,Female Age Specific Death Rate,4
2011,Total Age Specific Death Rate,4.5
2012,Male Age Specific Death Rate,5
2012,Female Age Specific Death Rate,4.1
2012,Total Age Specific Death Rate,4.5
2013,Male Age Specific Death Rate,5.1
2013,Female Age Specific Death Rate,4.2
2013,Total Age Specific Death Rate,4.6
2014,Male Age Specific Death Rate,5.2
2014,Female Age Specific Death Rate,4.3
2014,Total Age Specific Death Rate,4.7
2015,Male Age Specific Death Rate,5.2
2015,Female Age Specific Death Rate,4.3
2015,Total Age Specific Death Rate,4.8
2016,Male Age Specific Death Rate,5.3
2016,Female Age Specific Death Rate,4.3
2016,Total Age Specific Death Rate,4.8
2017,Male Age Specific Death Rate,5.5
2017,Female Age Specific Death Rate,4.5
2017,Total Age Specific Death Rate,5
2018,Male Age Specific Death Rate,5.6
2018,Female Age Specific Death Rate,4.5
2018,Total Age Specific Death Rate,5
